routerSerial,ri,action,movement,fall,battery,count,label,routerTime
B8-27-EB-AD-32-FA,-78,14,32,0,0,161,Living,1595310998921
B8-27-EB-6A-B8-0B,-80,14,30,0,0,164,Living,1595311000635
B8-27-EB-7A-0F-BF,-65,4,36,0,0,165,Living,1595311000888
B8-27-EB-AD-32-FA,-92,14,63,0,0,166,Living,1595311001322
B8-27-EB-7A-0F-BF,-66,14,63,0,0,166,Living,1595311001329
B8-27-EB-6A-B8-0B,-69,14,43,0,0,167,Living,1595311002365
B8-27-EB-AD-32-FA,-94,14,29,0,0,169,Living,1595311003073
B8-27-EB-6A-B8-0B,-80,4,53,0,0,171,Living,1595311003837
B8-27-EB-AD-32-FA,-92,4,53,0,0,171,Living,1595311003865
B8-27-EB-AD-32-FA,-80,14,23,0,0,173,Living,1595311004781
B8-27-EB-6A-B8-0B,-79,14,23,0,0,173,Living,1595311004923
B8-27-EB-22-6B-12,-78,14,23,0,0,173,Living,1595311005088
B8-27-EB-AD-32-FA,-85,14,40,0,0,176,Living,1595311006853
B8-27-EB-22-6B-12,-91,14,40,0,0,176,Living,1595311006890
B8-27-EB-7A-0F-BF,-70,14,32,0,0,178,Living,1595311007127
B8-27-EB-6A-B8-0B,-82,4,23,0,0,180,Living,1595311008039
B8-27-EB-AD-32-FA,-78,4,50,0,0,183,Living,1595311009574
B8-27-EB-7A-0F-BF,-82,4,50,0,0,183,Living,1595311009576
B8-27-EB-AD-32-FA,-68,14,25,0,0,185,Living,1595311010531
B8-27-EB-6A-B8-0B,-90,14,25,0,0,185,Living,1595311010413
B8-27-EB-7A-0F-BF,-84,4,37,0,0,186,Living,1595311010952
B8-27-EB-AD-32-FA,-91,14,25,0,0,185,Living,1595311011012
B8-27-EB-AD-32-FA,-75,14,40,0,0,187,Living,1595311011462
B8-27-EB-6A-B8-0B,-93,14,17,0,0,190,Living,1595311012821
B8-27-EB-F2-6B-8A,-85,14,29,0,0,193,Living,1595311014379
B8-27-EB-AD-32-FA,-82,4,32,0,0,192,Living,1595311013857
B8-27-EB-DB-FE-98,-76,4,53,0,0,195,Living,1595311015390
B8-27-EB-6A-B8-0B,-75,4,53,0,0,195,Living,1595311015471
B8-27-EB-DB-FE-98,-92,4,53,0,0,195,Living,1595311015897
B8-27-EB-6A-B8-0B,-87,14,49,0,0,197,Living,1595311016317
B8-27-EB-6A-B8-0B,-95,4,22,0,0,204,Living,1595311019535
B8-27-EB-7A-0F-BF,-98,4,21,0,0,207,Living,1595311021009
B8-27-EB-AD-32-FA,-80,14,32,0,0,209,Living,1595311022072
B8-27-EB-22-6B-12,-94,14,38,0,0,217,Living,1595311025813
B8-27-EB-7A-0F-BF,-80,14,34,0,0,215,Living,1595311026395
